name,phone,address,postalZip,country,currency,color,model,numberOfCustomizations
Brenden Randall,(870) 179-2326,"144-256 A, Ave",5027,Singapore,$285.55 ,green,Trickster,5
Chelsea Mckenzie,(908) 406-2158,371-4983 Egestas. Av.,3673,Poland,$88.89 ,yellow,Racer,2
Allen Crosby,1-418-532-8579,"Ap #870-1670 Convallis, Road",96808,South Africa,$276.94 ,blue,Racer,6
Bert Dejesus,1-780-428-7868,"P.O. Box 315, 5044 Libero. Street",347366,Norway,$131.42 ,blue,Ninja,6
Ashely Mcclain,(554) 948-4671,"Ap #147-2294 A, Rd.",1587,India,$155.26 ,yellow,Roadster,4
Naomi Mooney,1-287-427-3975,"P.O. Box 338, 809 In Street",7192-4332,United Kingdom,$229.39 ,orange,Trickster,9
Reed Palmer,(468) 125-8862,979-3717 Pellentesque Rd.,845484,Brazil,$162.63 ,orange,Hero,5
Jonas Lucas,(822) 685-2662,158-4571 Dolor Rd.,26442,Peru,$220.58 ,violet,Hero,3
Philip Fisher,(924) 205-3499,548-7126 Mauris St.,37459,Austria,$146.14 ,violet,Racer,5
Bertha Bishop,(552) 236-6282,Ap #748-4552 Primis Road,404815,Norway,$264.86 ,violet,Roadster,8
Roth Phelps,(828) 863-1751,883-3569 Aliquet Road,938577,China,$66.09 ,orange,Cruiser,7
Anastasia Pitts,(857) 326-5573,7009 Aliquam Rd.,493884,Poland,$59.82 ,violet,Racer,0
Fleur Jackson,1-262-348-2617,Ap #602-5457 Elit. Rd.,30402,Netherlands,$141.28 ,orange,Cruiser,3
Philip Phelps,1-787-160-1303,4235 Gravida Av.,45604,Norway,$104.14 ,green,Cruiser,8
Dana Horton,(417) 454-1277,7283 Nisl. Ave,40612,Turkey,$279.81 ,green,Cruiser,6
Barry Stephenson,(273) 495-3624,792-4109 Sed Street,210613,Singapore,$273.74 ,blue,Ninja,2
Cadman Morgan,1-688-534-8871,"7617 Tempor, Road",6341,Brazil,$230.31 ,violet,Ninja,4
Odessa Strong,1-428-965-5742,2753 Turpis Av.,01291,Philippines,$180.98 ,red,Hero,8
George Livingston,(247) 367-0861,547-2267 Magna. Ave,98528-444,Philippines,$156.97 ,indigo,Roadster,7
Martha Ratliff,1-453-246-3816,Ap #354-1711 Lorem St.,816982,Peru,$195.83 ,violet,Hero,9
Aaron Dean,1-228-309-9423,Ap #621-659 Ligula Rd.,7038,South Africa,$254.29 ,red,Hero,5
Marshall Boyle,(788) 607-6184,3628 Imperdiet St.,86174,Ukraine,$134.21 ,indigo,Racer,4
Gage Potts,1-831-802-3469,"P.O. Box 947, 4447 Accumsan St.",68001,Germany,$127.65 ,violet,Trickster,2
Gay Hamilton,1-617-636-8725,"P.O. Box 512, 7322 Cursus. Rd.",64380,China,$214.29 ,orange,Trickster,1
Lila Koch,(978) 650-0264,Ap #665-3219 Volutpat. Avenue,48-88,United Kingdom,$246.94 ,violet,Cruiser,8
Basil Morton,1-713-575-4224,585-3236 Facilisi. Ave,9353,Chile,$96.10 ,orange,Racer,10
Leslie Owen,(401) 984-4186,149-554 Neque. Rd.,9887,Canada,$120.60 ,violet,Cruiser,6
Plato Petersen,(437) 164-2723,"6860 Risus, Avenue",92722,Mexico,$132.70 ,green,Hero,7
Latifah Marquez,1-711-161-9691,400-1975 Etiam Ave,645732,Vietnam,$106.56 ,blue,Roadster,5
Madison Singleton,1-922-725-4225,"223-6089 Placerat, Street",83-860,United States,$135.10 ,green,Roadster,3
Illiana Hughes,(135) 636-8312,Ap #495-3560 Cum Rd.,88426-624,France,$218.57 ,yellow,Hero,0
Marah Bartlett,1-615-549-5956,1599 Maecenas Rd.,65433-72589,Australia,$104.34 ,yellow,Ninja,1
Dylan Wood,1-208-570-3953,"P.O. Box 721, 8202 Vitae Ave",104814,United States,$232.24 ,yellow,Trickster,4
Desirae Luna,1-610-455-5887,732-5889 Ac Rd.,62789-329,Norway,$222.28 ,indigo,Cruiser,1
Merritt Ross,1-388-312-3192,Ap #814-2335 Lectus Ave,8930,New Zealand,$214.08 ,yellow,Trickster,4
Yuli Ratliff,1-625-496-2137,"Ap #766-389 Non, St.",8073,New Zealand,$146.63 ,blue,Cruiser,5
Kuame Morris,(743) 220-5522,"250-9933 Elementum, Street",21806,Australia,$85.61 ,green,Cruiser,10
Hedy Ortega,1-320-922-1643,Ap #947-5718 Ornare Avenue,11924,Singapore,$46.70 ,orange,Hero,6
Cailin Bradford,1-812-787-4023,"P.O. Box 311, 5799 Ultrices, Rd.",71663,Mexico,$116.37 ,green,Hero,9
Melinda Landry,(862) 640-6692,Ap #328-1984 Eu St.,65410-511,Vietnam,$98.71 ,orange,Trickster,8
Ocean Henry,1-659-215-4168,Ap #885-1710 Sed Avenue,745879,Russian Federation,$241.94 ,orange,Ninja,4
Dorian Andrews,1-115-331-9665,"805-6807 Nec, Rd.",61201,Singapore,$229.20 ,indigo,Cruiser,1
Oleg Levy,(652) 586-7839,Ap #899-2456 Lectus Street,481831,Turkey,$40.11 ,green,Roadster,2
Anjolie Roy,(378) 524-5731,616-5635 In Avenue,R2W 4A9,Ukraine,$95.66 ,indigo,Cruiser,4
Nasim Allison,1-984-596-5147,Ap #754-2567 Tempor Ave,16725-77224,New Zealand,$107.23 ,yellow,Cruiser,3
Rajah Bray,(237) 844-4776,Ap #311-8886 Nascetur Rd.,3652-3994,Pakistan,$284.68 ,yellow,Trickster,9
Nelle Chapman,(288) 186-8506,704-5009 Nulla. St.,5831,Italy,$154.08 ,orange,Ninja,0
Bianca Travis,1-234-202-1223,278 Duis Av.,25707-914,United Kingdom,$207.25 ,blue,Ninja,2
Darryl Mcconnell,1-320-894-4174,635-3068 Ut St.,59712,Mexico,$117.67 ,yellow,Roadster,6
Kiona Franklin,(469) 682-9595,Ap #624-8582 Phasellus Ave,151576,New Zealand,$54.97 ,violet,Roadster,9
Ava Pruitt,1-114-766-5672,Ap #142-3534 Mi Rd.,3852,Chile,$53.09 ,red,Hero,2
Samson Mack,(134) 417-5153,Ap #153-9095 Mauris Street,9326,Philippines,$94.77 ,green,Cruiser,5
Vincent Cline,(754) 138-5558,"P.O. Box 704, 4393 Consequat Street",3308,Netherlands,$50.88 ,red,Ninja,8
Brian Vang,(543) 553-3619,2734 Urna. Ave,C7L 5H7,India,$272.35 ,orange,Cruiser,3
Peter Hall,(881) 576-2327,371-4872 Nunc Rd.,201477,Russian Federation,$159.57 ,blue,Ninja,1
Sigourney Mccoy,1-423-590-2324,655-1473 Urna. Ave,214475,Ukraine,$89.62 ,yellow,Ninja,6
Lee Burton,(168) 702-5465,Ap #902-9733 Erat. St.,82863,Costa Rica,$195.22 ,red,Ninja,5
Ira Riggs,1-660-250-8242,420-2584 Nunc Rd.,16446-11570,Nigeria,$162.13 ,green,Ninja,7
Elliott Burt,(848) 624-2174,6635 Adipiscing Rd.,18-64,South Korea,$187.98 ,blue,Cruiser,1
Evan Murray,(544) 668-8476,"P.O. Box 934, 3503 Dictum St.",351647,Norway,$270.53 ,green,Cruiser,2
Jeanette Stone,1-843-258-8027,"1980 Sapien, Rd.",40-550,Brazil,$283.99 ,violet,Roadster,9
Neve Travis,1-916-369-2897,Ap #785-9161 Consectetuer Avenue,65-87,Ireland,$240.64 ,indigo,Cruiser,1
Kenneth Albert,(547) 145-3432,2308 Ligula Av.,33797,Philippines,$67.56 ,indigo,Roadster,2
David Cruz,1-229-826-3787,Ap #161-4293 Nisl Avenue,21338,Netherlands,$142.35 ,violet,Cruiser,6
Grant Delacruz,(372) 294-4311,Ap #106-6978 Tincidunt Rd.,4318,Spain,$243.21 ,red,Ninja,2
Caesar Herrera,(772) 905-1414,"P.O. Box 379, 3140 Mollis Av.",53698,Colombia,$193.18 ,violet,Cruiser,4
Adrienne Stanton,(416) 834-3428,6609 Lectus Street,68-46,Costa Rica,$116.15 ,orange,Hero,6
Rahim Ashley,(743) 717-7448,540-2797 At Street,9858,South Africa,$41.26 ,indigo,Racer,9
Zenaida Kelley,(824) 388-5682,3574 Lorem Ave,UL7 6XT,Chile,$242.61 ,orange,Hero,9
Macaulay Moon,1-437-632-1930,Ap #963-8980 Cras Rd.,11301,Australia,$76.99 ,orange,Racer,5
Valentine West,1-617-689-8316,"P.O. Box 711, 7059 Velit. St.",349126,Norway,$203.40 ,yellow,Trickster,3
Astra Rocha,(936) 853-1612,"P.O. Box 417, 2745 Ipsum Road",23626,Spain,$204.93 ,yellow,Ninja,9
Kuame Singleton,(718) 722-1218,"P.O. Box 283, 802 Tellus St.",02-252,New Zealand,$128.71 ,green,Hero,3
Christen Davenport,(512) 695-8789,"6828 Pharetra, Rd.",7435 UJ,Spain,$68.53 ,blue,Racer,2
Curran Wise,(356) 528-9726,Ap #521-9605 Aliquet St.,1310,South Korea,$218.79 ,blue,Hero,1
Samantha Francis,1-625-453-3602,200 Malesuada Rd.,43-56,Brazil,$158.21 ,orange,Trickster,8
Harrison Meyer,(637) 386-2188,"P.O. Box 884, 8488 Lacus. Road",8514,Vietnam,$146.81 ,violet,Ninja,3
Wynter Davis,1-366-742-1222,Ap #886-3360 Sapien. Rd.,8222,Chile,$61.73 ,green,Racer,2
Debra Byers,(332) 527-7576,Ap #152-8311 Aliquam Street,6364,New Zealand,$151.42 ,yellow,Cruiser,5
Francesca Graves,(341) 710-5459,Ap #249-5440 Volutpat Rd.,7288,Russian Federation,$49.14 ,violet,Ninja,7
Malachi Hopkins,1-224-616-1351,620-4636 Magnis Rd.,15232,Norway,$207.27 ,violet,Roadster,10
Clarke Bolton,1-180-435-5308,2224 Tincidunt Rd.,7619,Philippines,$200.25 ,indigo,Cruiser,10
Beatrice Perry,1-574-363-5115,150-1927 Orci. Rd.,27284,China,$205.35 ,blue,Hero,3
Juliet Hamilton,1-569-373-6466,Ap #592-954 Erat Road,8667,Vietnam,$286.71 ,blue,Racer,1
Hayden Cook,(858) 697-1484,5330 Nunc Av.,620602,France,$99.64 ,yellow,Cruiser,0
Clinton Thornton,(655) 858-9878,"P.O. Box 681, 9990 Nunc Avenue",8816,United States,$224.18 ,blue,Ninja,3
Keith Arnold,(177) 868-2872,"8170 Vulputate, St.",362211,Mexico,$140.83 ,blue,Ninja,2
Dolan Morgan,(278) 488-3446,Ap #868-1787 Nibh. Street,787582,Peru,$100.25 ,violet,Trickster,10
Allistair Lopez,1-734-623-3808,Ap #838-9848 Nisi Road,50801,Belgium,$119.00 ,green,Ninja,0
Keegan Cotton,1-707-648-2759,3259 Malesuada Rd.,79236,Belgium,$65.01 ,green,Cruiser,2
Theodore Morse,1-347-605-4532,628-4303 Ultricies Avenue,4466,Indonesia,$224.95 ,blue,Hero,3
Emmanuel Gross,(473) 488-3738,Ap #354-9003 Lorem St.,47517,Mexico,$93.40 ,green,Trickster,7
Isaac Hull,1-551-318-2451,Ap #354-5838 Non Rd.,67-55,Canada,$111.41 ,indigo,Ninja,9
Dennis Miller,1-424-614-6180,"P.O. Box 204, 5355 Ultrices St.",180250,South Korea,$168.30 ,orange,Roadster,4
Beck Ashley,1-533-246-1147,668-724 Metus Street,664743,India,$149.66 ,yellow,Ninja,5
Dante Coffey,(656) 429-3186,473-3146 Arcu. St.,5408,Costa Rica,$230.18 ,orange,Ninja,3
Peter Slater,1-258-897-2431,Ap #271-563 A Road,16433,Chile,$216.88 ,green,Ninja,8
Aurelia Hanson,1-836-204-0172,"P.O. Box 656, 3879 Sapien, St.",350049,Poland,$83.07 ,violet,Ninja,7
Lara Andrews,(729) 461-2818,"P.O. Box 856, 2205 Tempor Road",71982,Germany,$134.22 ,yellow,Roadster,8
Rhea Holloway,(864) 427-3560,Ap #664-8475 Lorem Ave,25868,Belgium,$280.12 ,orange,Trickster,5
Kathleen Hoover,1-337-933-6118,"P.O. Box 295, 3492 Sit Rd.",8385,Turkey,$125.14 ,green,Racer,2
Vera Guy,1-419-787-7742,"Ap #701-4802 A, Street",362704,Colombia,$278.23 ,indigo,Hero,3
Grant Gamble,1-143-762-5435,8491 Quisque Rd.,13005,Austria,$237.92 ,violet,Ninja,10
Kylan Mckinney,(753) 804-8564,3258 Duis St.,5477,Belgium,$279.05 ,violet,Hero,1
Clayton Dudley,(571) 978-8662,7287 Sapien. Rd.,28-55,United States,$42.02 ,yellow,Roadster,3
Dorian Mitchell,(646) 138-3667,1488 Integer St.,796543,Ukraine,$253.66 ,green,Trickster,9
Shana Travis,1-698-281-8449,"P.O. Box 948, 2323 Dolor, Rd.",10514,Norway,$226.57 ,violet,Racer,0
Eliana Ramirez,(641) 864-4508,Ap #626-7795 Scelerisque Avenue,622781,Philippines,$280.28 ,red,Hero,7
Rina Horton,(120) 727-3837,358-405 Varius. St.,68-63,Norway,$188.07 ,violet,Racer,6
Dahlia Stevens,(493) 437-7124,208-8956 Semper Rd.,453345,Russian Federation,$143.11 ,blue,Hero,1
Mariko Pollard,(949) 456-6063,"Ap #145-3693 Quis, Ave",1175-5251,Mexico,$114.66 ,blue,Trickster,3
Rina Boone,(641) 876-5034,Ap #892-6704 Mattis Road,86866,Pakistan,$221.88 ,yellow,Hero,9
Octavia Blair,(416) 436-4211,Ap #930-9743 Vivamus St.,4314,Philippines,$175.07 ,indigo,Cruiser,8
Garrett Olsen,1-679-368-7283,Ap #346-4399 Auctor St.,4852,United Kingdom,$43.63 ,yellow,Ninja,6
Sage Richard,(772) 923-4733,344 Cubilia Rd.,3859,Nigeria,$277.27 ,blue,Racer,6
Randall Mclaughlin,(562) 616-6196,Ap #511-6816 Per St.,B2C 5R5,Canada,$140.01 ,indigo,Hero,4
Steven Wright,(517) 271-7343,"P.O. Box 518, 5745 Amet Rd.",10208,South Korea,$219.03 ,indigo,Cruiser,2
Evan Guerrero,1-612-205-1445,"945-1220 Nec, Av.",1017 RU,Italy,$126.97 ,blue,Roadster,5
Chaney Hodge,1-381-805-8866,886-4157 Sem St.,5762-7341,Peru,$275.31 ,violet,Ninja,8
Erin Franklin,1-761-601-6366,262-4582 Sociis Rd.,734853,Mexico,$103.36 ,green,Roadster,4
Constance Mann,1-655-574-3977,245-8584 Lorem. Road,8148,New Zealand,$238.45 ,blue,Cruiser,0
Kadeem Ortiz,1-133-624-1547,Ap #899-751 Fames Av.,1611,Turkey,$226.61 ,orange,Ninja,2
Yeo Lawrence,1-129-361-4778,Ap #954-2918 Sapien. Avenue,75672,Peru,$93.11 ,red,Ninja,7
Heather Grant,1-657-545-7933,"P.O. Box 978, 3886 Natoque Av.",464962,United Kingdom,$144.34 ,blue,Ninja,5
Dalton Daniels,1-945-776-3189,828-9940 Cras St.,8122,Italy,$170.83 ,blue,Roadster,0
Mikayla Rollins,1-604-623-8275,4729 Molestie Road,4465,Sweden,$241.71 ,indigo,Ninja,7
Nicholas Baxter,(312) 501-2443,"P.O. Box 971, 3846 Nullam Road",5546,United States,$257.53 ,orange,Ninja,0
Jermaine Joyner,(379) 150-5396,Ap #601-5026 Sagittis. Avenue,58380-130,Ukraine,$123.25 ,indigo,Cruiser,6
Thor Farmer,(633) 986-2611,Ap #484-4050 Sagittis St.,120152,Vietnam,$75.73 ,blue,Ninja,1
Demetria Figueroa,1-808-848-4016,716-9360 Neque Street,6022,South Korea,$198.54 ,green,Cruiser,1
Felix Bernard,(817) 848-1158,520-9677 Nulla Avenue,18-142,Poland,$279.79 ,yellow,Cruiser,9
Montana Cummings,(317) 833-3014,327-5182 Augue St.,207824,Germany,$218.30 ,yellow,Trickster,6
Silas Valdez,(221) 714-5664,"P.O. Box 657, 9244 Lorem, Rd.",3838,Singapore,$126.48 ,indigo,Hero,0
Susan Lynch,1-351-437-7624,8022 Fringilla St.,65136-823,Spain,$198.18 ,indigo,Cruiser,4
Janna Blake,(243) 795-6087,Ap #363-1927 Nulla Road,06187-18336,Ireland,$263.42 ,orange,Cruiser,4
Nevada Hale,(584) 878-6421,171-4971 Et St.,66124,United States,$279.18 ,yellow,Racer,1
Inga Mcdaniel,(905) 154-4099,903-5305 Urna. Ave,64927-73584,Canada,$255.50 ,yellow,Cruiser,6
Cailin Mathews,1-241-612-5438,551-5591 Mollis Av.,785887,Italy,$103.41 ,orange,Cruiser,2
Kyla Washington,1-198-206-0223,"196-9529 Vulputate, St.",3801,Pakistan,$247.88 ,red,Roadster,3
Ray Frank,1-747-472-4413,834-5777 Luctus Rd.,10316,Pakistan,$87.87 ,yellow,Ninja,1
Hashim Hill,(142) 525-7054,"P.O. Box 781, 9319 Dolor Av.",99988,South Africa,$104.60 ,indigo,Cruiser,9
Xena Sykes,(582) 333-5101,"P.O. Box 436, 2165 Lobortis Road",301848,Netherlands,$268.02 ,blue,Trickster,6
Nolan Terry,(697) 658-8047,"P.O. Box 255, 2946 Ultrices Rd.",54676,Costa Rica,$186.67 ,green,Cruiser,1
Martin Bass,(535) 411-4343,"927-9896 Ut, Street",6043,United States,$262.79 ,red,Roadster,2
Finn Nelson,1-837-299-8081,"Ap #679-8808 Dolor, St.",42236,Canada,$69.30 ,violet,Ninja,7
Alvin Benton,1-188-329-9482,894-8608 Vel Road,55-83,Australia,$90.25 ,orange,Cruiser,4
Natalie Nicholson,1-844-844-3593,"Ap #498-9422 Montes, Street",14611,Canada,$276.07 ,green,Roadster,1
Aphrodite Vasquez,(126) 440-9481,"P.O. Box 679, 5943 Cras Rd.",664834,South Korea,$93.76 ,blue,Hero,9
Ainsley Maxwell,(566) 586-8512,524-1169 Ligula. St.,A6M 7K4,Ireland,$81.07 ,violet,Trickster,3
Kevyn Casey,(242) 209-2363,Ap #340-3361 Eu Avenue,12317,Singapore,$174.50 ,indigo,Trickster,6
September Rice,(575) 735-1387,559-2064 Dui Ave,7338,Philippines,$142.64 ,violet,Cruiser,10
Aurelia Dean,1-938-629-1468,542-1056 Ridiculus Rd.,X06 4PB,Mexico,$256.82 ,violet,Roadster,4
Quon Walsh,(605) 328-1578,Ap #146-4916 Mauris Ave,15287-23483,Ukraine,$128.15 ,violet,Cruiser,8
Francesca Melendez,(611) 678-5703,"8040 Orci, St.",47787,Italy,$244.74 ,indigo,Ninja,4
Isaiah Langley,1-870-184-3863,"Ap #769-567 Et, Ave",3234,South Africa,$65.75 ,blue,Roadster,4
Sage Glenn,(677) 641-4347,Ap #234-1542 Lacus. Road,54628,Russian Federation,$156.10 ,green,Ninja,7
Hyacinth Patton,(918) 933-5130,"7081 Nec, Road",35-93,Italy,$240.34 ,violet,Hero,10
Kirestin Norton,(574) 223-3404,554-5167 Fermentum Ave,5991,Poland,$210.84 ,violet,Cruiser,6
Gareth Phillips,1-545-878-4041,"P.O. Box 761, 3939 Fames Rd.",21300,Turkey,$220.71 ,violet,Hero,7
Cally Burnett,1-691-682-5447,851-4121 Sit Avenue,17699,Poland,$160.73 ,orange,Racer,4
Rosalyn Fletcher,(715) 331-8286,Ap #395-4504 Condimentum Ave,1113-8832,Pakistan,$178.55 ,orange,Cruiser,2
Isaac Mcfadden,1-314-674-2883,"P.O. Box 305, 2522 Ornare. Ave",1186 MQ,Russian Federation,$170.10 ,green,Cruiser,2
Gay Hendrix,(924) 185-6374,"P.O. Box 614, 9419 Fusce Ave",72286,United States,$53.51 ,blue,Roadster,6
Lani Mccall,1-661-252-5698,Ap #856-5927 Tristique St.,678111,Costa Rica,$235.57 ,yellow,Cruiser,2
Dustin Horne,1-413-688-8739,Ap #847-2223 Nascetur Rd.,52783,Indonesia,$227.66 ,yellow,Ninja,9
Boris Mcmillan,(567) 850-4537,Ap #392-1100 Integer Rd.,B9N 7E4,New Zealand,$273.97 ,blue,Cruiser,4
Ashton Leon,1-328-417-6575,179-2860 Turpis Avenue,273617,Singapore,$183.51 ,yellow,Cruiser,8
Cody Dickson,(528) 652-2435,Ap #905-9140 Aliquam Av.,34124,Ukraine,$94.58 ,indigo,Roadster,8
Charissa Stanley,(383) 667-5276,Ap #152-6475 Est Avenue,88357,Mexico,$82.41 ,orange,Hero,4
Ryder Lopez,1-529-535-7153,"P.O. Box 845, 3518 Neque. Rd.",96498-48336,China,$201.27 ,yellow,Trickster,0
Kylie Bowen,(566) 880-5249,Ap #494-3382 Nisi Avenue,6683,China,$108.29 ,yellow,Hero,3
Bernard Park,(218) 959-8538,6911 Sed Avenue,485487,France,$145.48 ,indigo,Cruiser,4
Forrest Lowe,(311) 611-8810,Ap #205-8209 Lacus. Rd.,1885 JE,India,$105.82 ,yellow,Roadster,5
Garth Banks,(384) 582-2231,Ap #198-5328 Nunc Street,221554,South Africa,$277.21 ,red,Cruiser,6
Fletcher Coffey,1-116-746-4160,Ap #673-2175 Auctor. Rd.,65229-088,Indonesia,$213.64 ,orange,Hero,4
Hammett Moody,1-873-973-9837,Ap #471-9188 Eros. Avenue,76168,France,$204.01 ,indigo,Ninja,2
Zena Rojas,(544) 652-1083,Ap #806-7162 Mauris Street,31411,Brazil,$88.38 ,indigo,Hero,3
Mallory Sanders,1-622-544-4786,677-4435 Malesuada Rd.,O9X 8G0,New Zealand,$258.39 ,indigo,Hero,1
Dieter Mckenzie,1-974-827-4887,"9408 A, Ave",W2J 5KB,Germany,$122.76 ,red,Cruiser,10
Reece Mullins,(639) 277-3576,851-2682 Purus Rd.,532521,India,$265.78 ,indigo,Racer,1
Carter Malone,(525) 400-6991,Ap #548-977 Mollis. Avenue,816318,France,$153.65 ,blue,Hero,6
Dominic Mcgowan,1-638-962-6854,1211 Sit St.,63689-70787,Chile,$197.50 ,violet,Racer,2
Alexander Santana,(442) 784-1761,778-1439 Ipsum Av.,7286,Norway,$122.13 ,indigo,Ninja,8
Craig Meyer,(933) 960-5682,"Ap #952-7606 A, Avenue",26782,Sweden,$195.44 ,red,Hero,8
Kelly Jarvis,(458) 287-2184,498-5755 Morbi Street,62-333,Netherlands,$44.79 ,indigo,Racer,5
Grant Shepherd,1-724-562-9861,633-9299 Amet Ave,18887,Chile,$168.88 ,red,Ninja,3
Tanner Armstrong,(668) 983-7616,"P.O. Box 132, 9465 Etiam St.",362183,Austria,$116.47 ,blue,Roadster,1
Nathan Massey,(868) 681-6276,Ap #644-6074 Suspendisse Ave,82-586,Philippines,$121.93 ,red,Racer,3
Azalia Kinney,(218) 860-3615,Ap #165-7835 Nam Street,536089,South Korea,$107.05 ,yellow,Racer,2
Henry Cobb,(686) 298-5041,"P.O. Box 508, 1262 Enim St.",56447,Ukraine,$128.38 ,orange,Ninja,2
Stuart Garrison,(118) 218-4486,324-4167 Dictum. St.,39614,United Kingdom,$137.14 ,orange,Hero,3
Liberty Lambert,1-736-943-5462,537-4707 Aenean St.,8574,South Africa,$245.27 ,red,Roadster,4
Aurora Bowen,(533) 135-0881,"P.O. Box 358, 3771 Urna, Ave",905101,Poland,$142.74 ,orange,Trickster,7
Sybill Stuart,1-765-949-8778,Ap #357-4314 Sollicitudin Av.,283904,Germany,$59.00 ,violet,Ninja,5
Murphy Vazquez,1-828-285-4387,"P.O. Box 101, 3454 Mauris Street",433464,Poland,$141.04 ,violet,Ninja,6
Alana Travis,(991) 767-1367,Ap #822-2440 Nascetur Road,40318,Indonesia,$193.54 ,violet,Roadster,8
Nash Peck,1-438-895-7062,"861-6731 Id, Rd.",7768-6628,Pakistan,$247.92 ,yellow,Hero,2
Amir Clay,1-437-308-2730,164-4493 Est Road,2156,Chile,$99.54 ,yellow,Roadster,2
Galena Vaughan,(216) 972-1318,Ap #408-7333 Sagittis Avenue,81142-46130,Austria,$53.53 ,orange,Roadster,1
Edan Olsen,1-713-666-3212,"P.O. Box 955, 719 Curabitur Street",8791,Italy,$106.60 ,blue,Cruiser,5
Eaton Ward,1-466-218-5231,"P.O. Box 344, 701 Molestie St.",44397,France,$158.68 ,violet,Racer,0
Candace Collier,1-458-302-1863,230-5359 Consequat St.,617447,Philippines,$232.58 ,red,Ninja,6
Stephen Larson,1-407-912-5776,601-3575 Tincidunt Rd.,15701,Turkey,$212.63 ,yellow,Cruiser,4
Kelly Puckett,(293) 972-6678,"P.O. Box 268, 4885 Bibendum Av.",517661,United Kingdom,$227.14 ,yellow,Trickster,4
Lunea Carr,1-324-291-4019,606-9037 Interdum Rd.,82176,Colombia,$187.96 ,orange,Ninja,3
Beck Spencer,(410) 347-5681,2653 Quam Rd.,85172,Pakistan,$49.54 ,violet,Hero,9
Hashim Downs,1-291-427-6660,6138 Adipiscing St.,541438,New Zealand,$116.88 ,yellow,Cruiser,10
Carlos Vazquez,1-371-788-6954,395-4205 Vel Rd.,3253,Ukraine,$199.12 ,violet,Hero,2
Jarrod Duke,1-774-617-7597,450-1224 Felis Av.,618275,France,$107.43 ,violet,Trickster,5
Kevin Holder,(835) 771-3879,Ap #654-3256 Ornare Av.,901568,Russian Federation,$93.31 ,red,Cruiser,0
Caldwell Bryan,(462) 536-4255,"Ap #297-1486 Sapien, Ave",323087,Costa Rica,$229.25 ,indigo,Roadster,4
Desiree Pruitt,1-181-198-6481,Ap #505-1062 Lectus Avenue,P4C 2L3,South Korea,$281.52 ,green,Hero,7
Burke Gilbert,(674) 466-4663,Ap #900-5248 Vestibulum Rd.,1532,United Kingdom,$136.28 ,blue,Ninja,6
Leigh Clemons,1-378-604-2426,Ap #910-724 Lacus. Rd.,83534,Pakistan,$236.85 ,orange,Hero,9
Hayfa Rosales,(678) 578-8802,Ap #273-5309 Odio Ave,17477,China,$167.74 ,red,Hero,1
Stacy Greer,(914) 681-2179,Ap #983-1923 Ante Street,81765,Sweden,$174.11 ,indigo,Trickster,6
Morgan Hale,(248) 665-5404,Ap #976-8182 Ligula Av.,S5N 4P8,Pakistan,$167.29 ,red,Hero,6
Garrett Beck,(324) 864-4613,3967 Aliquam Street,736118,Ukraine,$78.15 ,green,Ninja,2
Warren Rocha,(646) 209-4187,868-5231 Enim. Street,5588,Philippines,$224.26 ,red,Ninja,6
Camilla Green,1-523-963-8214,Ap #570-1332 Nisi. St.,134121,Turkey,$272.35 ,red,Roadster,9
Rebekah Ware,1-294-777-6748,573-2210 Cursus Rd.,4036,Singapore,$95.38 ,green,Roadster,8
Iona Clayton,1-637-247-1183,"750-6573 Placerat, Rd.",6520,Russian Federation,$149.88 ,red,Trickster,6
Gemma Bruce,(885) 570-5430,Ap #874-9743 Etiam Rd.,293412,Turkey,$212.88 ,indigo,Ninja,1
Gil Landry,(116) 177-0147,6026 Malesuada Avenue,752176,Austria,$94.08 ,yellow,Ninja,5
George Owen,(227) 377-2081,Ap #219-2832 Semper Street,43819,China,$65.75 ,blue,Ninja,4
Flynn Norton,(612) 872-7459,936-2158 Id St.,2457,Turkey,$73.14 ,violet,Hero,1
TaShya Hutchinson,(702) 354-1918,568-4008 Urna. St.,34336,Philippines,$80.22 ,indigo,Racer,4
Kirk Decker,1-591-833-5552,8180 Nunc St.,34732,France,$265.27 ,yellow,Ninja,8
Hayden Mclaughlin,1-962-245-7266,"304-7384 Luctus, St.",8439 GS,United Kingdom,$262.73 ,blue,Trickster,0
Drake Jackson,(612) 280-6353,"P.O. Box 333, 7515 Libero. St.",857277,Mexico,$165.67 ,red,Hero,1
Montana Glenn,1-599-628-4380,"P.O. Box 383, 3063 Felis. Rd.",DO5 2IV,Germany,$141.02 ,yellow,Roadster,2
Kameko Hays,(176) 848-7100,Ap #244-4056 Ridiculus Rd.,8452,Pakistan,$240.67 ,blue,Racer,0
Upton Glass,1-498-831-1454,899-4771 Dui. Ave,5459,Mexico,$184.02 ,yellow,Cruiser,9
Wesley Mason,(201) 305-5893,Ap #168-5323 Erat. Street,957276,Italy,$156.25 ,violet,Roadster,6
Stone Whitehead,1-777-874-2450,Ap #374-1812 Hendrerit. Road,6631,Canada,$197.30 ,blue,Roadster,9
Hu Sanders,1-918-893-1681,646-4199 Mollis Road,3127,New Zealand,$242.23 ,green,Roadster,8
Gil Vang,(447) 889-9332,630-4060 Adipiscing Av.,9023,China,$167.34 ,indigo,Trickster,3
